LOKACIJA,"JA - Katastar"
﻿ADRESA,"Kralja Petra I,br. 6"
﻿GPS_POZICIJA,"21.26150000, 43.97550000"
﻿VRSTA_SENZORA,"Sirokopojasno merenje (100kHz – 7GHz)"
﻿VRSTA_MERENJA,"Mereno je elektricno polje"
﻿JEDINICA_MERE,V/m
﻿AKTIVNO,Da
RBR,DATUM_VREME,VREDNOST_POLJA,GRANICA_POLJA,GORNJA_NESIGURNOST,DONJA_NESIGURNOST,GORNJA_IZLOZENOST,DONJA_IZLOZENOST,GRANICA_IZLOZENOST,TEMPERATURA,VLAZNOST
42,"2018-12-28 04:06:00",3.08,11.000,3.7576,2.4024,0.0784,0.0078332672744088,1,10.000,58.000
43,"2018-12-28 04:12:00",3.19,11.000,3.8918,2.4882,0.0841,0.0084027777777778,1,10.000,58.000
44,"2018-12-28 04:18:00",3.22,11.000,3.9284,2.5116,0.085689256198347,0.0085615669176906,1,10.000,58.000
45,"2018-12-28 04:24:00",3.21,11.000,3.9162,2.5038,0.085157851239669,0.0085084720570749,1,10.000,58.000
46,"2018-12-28 04:30:00",3.33,11.000,4.0626,2.5974,0.091643801652893,0.0091565101070155,1,10.000,58.000
47,"2018-12-28 04:36:00",3.20,11.000,3.904,2.496,0.084628099173554,0.0084555423437706,1,10.000,58.000
48,"2018-12-28 04:42:00",3.16,11.000,3.8552,2.4648,0.082525619834711,0.0082454749636676,1,10.000,58.000
49,"2018-12-28 04:48:00",2.98,11.000,3.6356,2.3244,0.07339173553719,0.0073328709208614,1,10.000,58.000
50,"2018-12-28 04:54:00",2.96,11.000,3.6112,2.3088,0.072409917355372,0.0072347734178888,1,10.000,58.000
51,"2018-12-28 05:00:00",2.95,11.000,3.599,2.301,0.071921487603306,0.0071859723873695,1,10.000,58.000
52,"2018-12-28 05:06:00",2.99,11.000,3.6478,2.3322,0.073885123966942,0.0073821673933148,1,10.000,58.000
53,"2018-12-28 05:12:00",2.99,11.000,3.6478,2.3322,0.073885123966942,0.0073821673933148,1,10.000,58.000
54,"2018-12-28 05:18:00",2.98,11.000,3.6356,2.3244,0.07339173553719,0.0073328709208614,1,10.000,58.000
55,"2018-12-28 05:24:00",2.96,11.000,3.6112,2.3088,0.072409917355372,0.0072347734178888,1,10.000,58.000
56,"2018-12-28 05:30:00",2.95,11.000,3.599,2.301,0.071921487603306,0.0071859723873695,1,10.000,58.000
57,"2018-12-28 05:36:00",2.96,11.000,3.6112,2.3088,0.072409917355372,0.0072347734178888,1,10.000,58.000
58,"2018-12-28 05:42:00",2.93,11.000,3.5746,2.2854,0.07094958677686,0.0070888657682653,1,10.000,58.000
59,"2018-12-28 05:48:00",2.95,11.000,3.599,2.301,0.071921487603306,0.0071859723873695,1,10.000,58.000
60,"2018-12-28 05:54:00",2.97,11.000,3.6234,2.3166,0.0729,0.0072837395957194,1,10.000,58.000
61,"2018-12-28 06:00:00",2.98,11.000,3.6356,2.3244,0.07339173553719,0.0073328709208614,1,10.000,58.000
